"","BTN2A2","BTNL3","BTNL9","CEACAM1","IDO1","TDO2","VTCN1","ADORA2A","BTN3A1","CD276","CD274","PDCD1LG2","PDCD1","CD28","CD80","CD86","CTLA4","ICOS","ICOSLG","CD160","BTLA","TNFRSF14","TNFSF14","TNFSF9","TNFRSF9","TNFSF4","TNFRSF4","CD70","CD27","CD40","CD40LG","HAVCR2","LGALS9","TNFSF18","TNFRSF18","CD47","SIRPA","CD226","CD96","TIGIT","PVR","BTN2A1","CD209","HLA-DOB","HLA-G","KIR2DL1","KIR2DL3","KIR2DL4","KIR3DL2","HLA-A","HLA-B","HLA-C","HLA-DMA","HLA-DMB","HLA-DOA","HLA-DPA1","HLA-DPB1","HLA-DQA1","HLA-DQB1","HLA-DRA","HLA-DRB1","HLA-DRB5","HLA-E","HLA-F","LAG3","KIR2DS4","KIR3DL1","KIR3DL3"
"TCGA-2V-A95S-01A",3.8872,0.0194,0.4424,22.2808,7.897,80.2248,0.1564,0.2711,10.202,11.2966,2.9263,1.7806,10.1787,1.0996,0.3535,4.0966,5.6284,2.6183,0.0735,0.292,0.413,32.3774,4.208,0.7965,1.2364,0.9076,7.0771,1.1136,4.9941,51.467,0.6516,9.2386,15.9898,2.2745,8.4154,23.431,12.8033,0.2599,3.0143,5.1166,5.6074,6.8735,0.9972,17.0865,3.1274,0.1958,0.2973,1.2216,0.353,1082.9873,1095.4994,1021.0239,129.6059,18.9443,14.66,53.8445,78.8625,11.5654,23.8326,1092.9453,501.9062,247.4659,598.8012,79.1954,13.6438,0.3238,0.1771,0.014
"TCGA-2Y-A9GT-01A",3.318,0.0207,3.1338,14.3608,1.3565,53.9398,0.0334,0.465,21.9263,6.697,0.7699,1.0404,4.3678,0.9738,0.0709,1.4797,1.9627,1.5681,0.0948,0.3313,0.4836,12.3642,6.9448,0.3252,0.8681,0.3192,1.5134,0.4465,3.0623,8.3303,0.6285,1.8039,3.3211,0.0756,1.4532,5.8477,17.7119,0.2723,1.3369,1.9358,3.9999,4.9642,0.791,2.6356,1.5069,0.0449,0.0477,0.1761,0.0404,647.3391,1400.1335,1215.5254,57.9436,9.0776,4.0679,48.8036,30.4138,8.8188,30.6111,607.431,338.8903,179.9073,439.5551,68.2128,4.8766,0.0157,0.027,0
"TCGA-DD-A11C-11A",0.742,0.0336,1.1917,10.8026,0.2346,79.4821,0.2433,0.1563,2.7484,9.9283,0.4981,0.875,0.2342,0.2597,0.0382,0.9406,0.0191,0.0467,0.0307,0.1752,0.0227,5.08,2.1489,0.0751,0.0064,0.1033,0.0475,0,0.2476,3.8309,0.1989,1.6308,1.9623,0.0204,0.0322,3.2702,17.8485,0.1618,0.4951,0.1209,6.1136,1.9559,0.649,0.1664,1.207,0.0726,0.1028,0,0.109,163.4793,226.0517,203.5524,6.317,1.5081,2.0939,17.578,12.0213,3.7754,2.8122,148.5586,75.2858,25.6012,111.1019,4.1349,1.1382,0.229,0.0875,0.0242
"TCGA-G3-A25Z-01A",1.1698,0,0.5881,13.2483,0.1239,39.6054,0.1325,0.1694,2.6718,5.4723,0.1503,0.3173,0.1472,0.1643,0.0816,1.0551,0.2524,0.1174,0.1256,0,0.0085,6.7568,1.1009,0.0283,0.0559,0.3505,0.9678,0.0303,0.1401,7.2415,0.1167,1.105,2.4792,0.0769,0.7771,2.7494,5.6347,0.0181,0.151,0.1292,20.4778,2.4653,0.6678,0.1019,4.5254,0.0091,0,0.0179,0,623.2258,815.5028,738.9014,13.0619,2.1978,2.0204,8.9992,13.5641,3.2711,5.6359,180.1072,110.9729,29.703,176.2239,30.3878,0.1515,0.0096,0.0082,0
"TCGA-DD-A114-01A",3.8626,11.9976,0.0523,8.7779,8.5459,39.1061,7.0339,0.0955,9.9548,13.7696,3.2781,2.2747,4.9986,0.976,0.691,5.03,2.1429,1.9928,0.1987,0.1558,0.4638,14.3734,0.9213,0.3787,1.7528,1.8827,4.7767,0.5233,3.166,15.5198,1.4936,8.6683,30.6822,0.7613,4.4958,18.0387,21.2412,0.3517,2.9396,2.0555,15.2375,6.5641,1.1214,1.2946,4.872,0.043,0.1372,0.5278,0.1745,901.7681,1134.9048,1054.46,36.6701,8.4342,11.6664,91.6415,65.1178,39.6213,34.2657,767.2361,571.8483,69.5886,425.3642,51.6457,3.823,0,0.3112,0
"TCGA-WX-AA46-01A",0.5773,0.0585,0.8434,8.7128,0.1591,87.4913,0.0157,0.1589,1.6398,3.6201,0.6945,0.554,0.0831,0.0811,0.0345,1.0515,0.0741,0.0362,0.0526,0.1237,0.0527,5.2276,1.2502,0.1746,0.0599,0.192,0.0552,0,0.0959,5.0427,0.0514,1.0462,1.412,0.1973,0.0873,3.2361,11.8156,0.3435,0.2059,0.1327,6.6207,1.8794,0.3842,0.0805,0.5305,0.0094,0.01,0.0092,0.0338,100.909,113.8117,139.8464,5.6863,1.2542,2.0038,16.9762,11.3617,3.003,3.0254,140.1371,72.8584,21.9253,115.2488,2.2519,0.6328,0.0789,0,0.0094
"TCGA-NI-A8LF-01A",1.9866,0.0221,9.9675,9.5047,3.5046,11.0569,0.0833,0.7777,6.2827,7.8816,0.1841,0.3035,0.3091,0.4349,0.0504,0.3614,0.0757,0.0548,0.0096,0.0408,0.0249,7.3152,1.1035,0.0881,0.0255,0.4179,2.9691,0.0706,0.2587,8.0624,0.243,0.5941,2.0353,0.0538,0.3683,3.5442,9.9875,0.0501,0.237,0.065,5.7658,4.578,0.3018,1.1801,0.3574,0.0426,0.0113,0,0.0096,104.922,90.2475,322.8538,20.389,1.5142,0.6276,6.3768,5.3954,0.9233,1.4648,111.4185,71.1036,12.9765,109.4532,3.8259,0.2356,0.0448,0.0289,0
"TCGA-DD-A39Z-11A",0.4224,0.0076,0.5523,8.9551,0.0478,76.6655,0.4036,0.2253,1.2999,4.332,0.1217,0.0837,0.0265,0.0379,0.0346,0.2262,0.0173,0.0141,0.0793,0.2331,0.0256,3.7829,4.3757,0.034,0.0087,0.0887,0.0645,0.0121,0.07,4.2879,0.1699,0.2363,1.069,0.0092,0.1165,2.5132,10.138,0.1274,0.1712,0.0213,4.9902,1.916,0.1593,0.0658,0.8924,0,0,0,0.0493,121.9251,107.6645,105.8236,2.9674,0.4655,0.7521,5.1201,4.7639,0.9574,1.0719,43.3729,26.9739,7.7,77.1365,5.0103,0.9328,0.0115,0.0099,0.0109
"TCGA-DD-A1EC-01A",3.2962,0,0.7136,8.0856,5.5199,1.1864,0.0207,0.0225,16.1787,5.2496,5.1413,2.7615,4.4972,1.2849,0.7472,4.7891,2.4857,1.766,0.1663,2.4618,0.5259,5.9193,4.911,0.8547,1.7237,1.37,3.736,0.9948,3.9763,18.5795,1.8555,7.7187,11.693,0.4298,4.2716,10.8129,26.5523,0.5859,5.9907,3.5345,20.1533,4.9763,0.5723,0.8691,4.8062,0.983,0.8181,1.7748,1.6051,683.9079,1217.166,956.9504,61.9063,12.0415,10.1776,48.4446,39.6011,28.027,59.5947,826.1323,413.058,97.0356,351.7785,25.459,12.8674,0.566,1.2915,0.1299
"TCGA-DD-AAE2-01A",1.522,0,1.0603,7.8779,1.0207,45.1669,0.0115,0.2582,7.3347,6.5992,4.3416,0.9328,2.2386,0.5609,0.1249,1.4217,0.579,0.365,0.0411,0.1714,0.1982,6.4654,0.4527,0.1068,0.3543,0.4668,1.3985,0.308,1.3597,18.7529,0.2921,1.9777,3.2527,0.0695,0.5218,4.0884,16.8811,0.175,0.7327,0.7736,7.9015,3.3133,0.2649,0.5498,1.3957,0.0206,0.0767,0.0911,0.1116,324.0628,471.398,510.9097,27.7215,3.9874,3.8518,22.0937,20.7566,8.3441,6.8325,350.5865,164.1631,55.9703,256.3371,23.0812,1.8959,0.0543,0.0093,0
"TCGA-DD-A39W-11A",0.3015,0,0.2436,6.8919,0.1737,112.2717,0.2212,0.1522,2.2971,4.3104,0.2057,0.4983,0.0912,0.0947,0.0248,0.6356,0.0298,0.0182,0.0853,0.2208,0.0442,4.5816,0.3903,0.0878,0.01,0.2454,0.1204,0.0104,0.1327,7.8995,0.1377,0.7595,1.4259,0.0238,0.0502,3.2842,8.9903,0.1623,0.2184,0.1937,3.7286,1.3641,0.4226,0.0324,0.7235,0,0.03,0.037,0.0085,130.3623,139.6464,186.1886,3.809,0.8779,0.9518,9.3398,6.983,2.8192,5.6736,75.6466,71.7696,35.958,109.8161,3.8836,0.8191,0.0793,0.0341,0
"TCGA-DD-AAD0-01A",1.5716,0,0.6936,11.4618,0.3514,2.0266,0.015,0.7476,2.5447,11.1915,0.3039,0.0747,0.0216,0.1719,0.0353,0.3368,0.0212,0.0345,0.4277,0.0171,0.044,5.1096,2.8918,0.0278,0.0214,0.1203,0.6986,0.0445,0.103,11.7135,0.3309,0.6996,1.7518,0.0339,0.1071,3.9943,7.9994,0.0249,0.1656,0.0261,15.901,3.3444,0.0977,0.2768,2.15,0.0134,0.0143,0,0.0121,279.5747,157.5214,260.7649,2.7832,0.4478,0.222,3.0287,2.0516,0.7716,0.5693,30.9082,14.5162,5.393,112.8435,12.9558,1.5003,0.0141,0.0121,0
"TCGA-DD-A11D-11A",1.3744,0.0503,0.647,14.7368,0.7856,164.8075,0.3581,0.2391,6.2282,10.4187,1.1947,1.1772,0.8094,0.5065,0.1464,2.1241,0.6498,0.381,0.0941,0.1905,0.1756,7.2998,0.8685,0.2503,0.3669,0.1754,0.5225,0.2272,1.0364,9.4825,0.3754,2.1837,3.1744,0.224,0.8366,5.588,17.2234,0.2425,0.8586,0.8561,6.0094,2.5758,1.9087,0.6131,1.1599,0.0242,0.0128,0.1423,0.0981,596.3537,1015.7252,833.7446,11.8964,3.0056,4.093,34.0468,25.8379,10.1905,3.1316,335.2458,188.8369,35.991,246.352,25.4303,1.9606,0.3179,0.0328,0
"TCGA-EP-A2KB-01A",1.3999,0,0.8021,12.4762,0.7357,25.6557,0,0.6982,3.771,9.1828,0.1591,0.1613,0.2962,0.1539,0.0763,0.5992,0.3055,0.1056,0.014,0.0412,0.0362,5.9027,8.3909,0.04,0.072,1.1836,0.6834,0.0214,0.4327,1.9903,0.1589,0.8243,1.7162,0.0651,0.3343,3.2454,1.3518,0.0347,0.2297,0.1664,11.4125,4.9071,0.2629,0.1163,0.2132,0,0.0411,0.0284,0.061,206.2677,85.3514,256.9228,4.8254,1.2188,0.7748,5.6499,6.4819,3.9988,2.9795,88.2241,63.8604,31.1977,151.1076,3.8673,1.0643,0.0102,0.0349,0
"TCGA-G3-A7M9-01A",1.3457,0.0948,0.3012,7.5273,0.1491,17.3068,0.42,0.6527,2.5871,17.244,0.211,0.1426,1.0746,0.2523,0.1379,1.16,0.387,0.1611,0.0598,0.1698,0.08,9.8177,2.6151,3.5362,0.3274,3.5285,2.662,0.9945,0.6411,6.0433,0.0624,2.2187,2.191,0.2014,1.1214,4.014,9.6206,0.0578,0.5688,0.4585,22.7319,7.8274,0.1484,0.3915,2.1304,0.0114,0,0.0782,0.041,145.7418,140.8472,125.8208,7.1387,1.3653,0.9517,8.5212,8.4575,2.2135,6.4608,71.2523,56.0739,13.8061,111.2204,5.0752,1.7269,0,0.0412,0
"TCGA-DD-AAVW-01A",1.9492,0,1.1387,11.0937,0.4753,106.5336,0.0817,0.6142,4.6459,10.3001,0.2289,0.7122,0.3776,0.6585,0.1155,1.771,0.7863,0.3199,0.0238,0.0935,0.1851,7.1219,5.0264,1.2872,0.1675,4.97,2.6296,0.1456,0.6177,8.1072,2.0575,2.0568,3.893,0.4436,1.0707,4.721,6.3694,0.2572,1.1974,0.3087,5.0437,4.8939,0.4933,0.3772,0.9684,0,0.0311,0.0718,0.0527,202.552,227.3376,316.3098,12.3228,3.1754,3.1899,31.7605,17.7357,11.7086,8.1689,270.6102,149.268,37.6303,219.3999,7.4833,0.4291,0,0.0264,0
"TCGA-DD-AACQ-01A",1.5818,0,0.5552,9.3419,0.3119,21.7392,0.0064,1.0802,6.474,9.5178,0.4681,0.0479,0.2223,0.0835,0.0121,0.0791,0.0182,0.0074,0.2412,0.0538,0.0108,19.11,5.2831,0.0594,0.0245,0.2843,1.4101,0,0.191,14.2397,0.021,0.4536,1.3293,0.0484,0.3057,3.1731,10.2633,0.01,0.0449,0.0255,9.3528,3.2265,0.1672,0.1974,1.1239,0.0344,0.0122,0.0225,0.0103,162.3708,107.7609,151.9167,2.3742,0.4885,0.1949,0.4055,2.1241,0.2314,0.4516,13.8352,5.785,1.9115,115.2895,15.6754,1.5828,0.0242,0.0104,0
"TCGA-DD-A1EF-01A",0.6671,0.042,1.6082,6.5426,1.0867,8.7182,0.0226,1.0268,1.9789,17.6961,0.2743,0.3229,0.7979,0.9297,0.2126,1.4803,0.8297,0.7011,0.0475,0.129,0.35,6.1056,0.3143,0.1463,0.4407,1.9731,3.9857,0.2678,1.6531,2.3433,0.8666,1.8817,2.9581,0.1701,1.7194,2.115,6.6199,0.125,1.1117,1.2389,12.0672,3.4083,0.5183,0.6767,0.8328,0,0,0.0198,0.0182,110.4405,128.9777,67.9933,7.8591,3.0793,2.6379,24.1544,15.347,3.8547,6.6705,206.9375,71.5437,39.5553,83.4848,4.6373,0.9609,0,0,0
"TCGA-DD-AAVZ-01A",1.1991,0.0394,1.9152,16.8701,0.2413,114.9631,0.0159,0.3042,2.705,11.6301,0.0878,0.1681,0.2752,0.192,0.0374,0.7207,0.1236,0.0823,0.1648,0.0666,0.0733,3.9561,4.2414,0.0589,0.0265,1.4383,0.419,0.1258,0.0728,1.4024,0.6103,0.6664,3.0473,0.0599,0.2271,6.6886,12.6969,0.125,0.4706,0.0671,11.599,3.442,0.2179,0.1711,2.1281,0,0,0.0279,0.0128,263.7672,230.8098,227.6724,5.4112,1.3555,1.6226,7.1965,13.2223,6.2579,6.2086,124.4057,97.4517,50.8895,139.4347,13.6552,0.3856,0,0.0129,0
"TCGA-DD-AAVP-01A",1.4293,0.1103,4.4617,15.8429,0.033,0.3285,0.0127,0.4035,2.8787,8.5016,3.6383,1.7062,0.4397,0.1101,0,0.6148,0.1436,0.0438,0.0411,0.029,0.0426,6.518,0.418,0.823,0.4535,0.1939,1.9635,0.0753,0.1744,3.8559,0.0622,0.5861,2.3333,0,0.2418,6.1735,14.4402,0.0253,0.0889,0.0757,6.6032,1.9175,0.2873,0.1952,1.1115,0,0.0483,0.0446,0.0409,224.464,472.1984,371.1012,38.4068,4.4394,1.2142,21.3433,25.7299,2.8525,3.745,407.0139,284.1791,54.4056,230.4927,17.7463,0.6412,0.0239,0.0205,0
"TCGA-UB-A7MA-01A",4.1847,2.5988,0.7655,11.464,0.2315,0.8229,0.5983,0.5198,3.4728,25.0894,0.1966,0.0805,0.3618,0.1403,0.0762,0.7192,0.2745,0.1303,0.0419,0.1233,0.0475,7.292,0.2662,2.1717,0.1387,0.5002,2.2739,0.096,0.3517,11.1639,0.1982,0.9448,5.1439,0.0609,10.3208,10.6614,23.9746,0.0824,0.3396,0.233,13.9784,8.4335,0.1885,0.1741,1.4437,0,0,0,0.013,337.6952,346.4723,435.4917,17.3741,2.0001,1.9642,15.332,17.6028,3.0969,7.7552,119.3761,82.3609,52.6469,218.5761,10.3225,0.2402,0.0457,0.0131,0
"TCGA-PD-A5DF-01A",2.0244,0,0.2344,9.5734,0.3422,30.4491,0.0292,0.1582,3.707,17.9413,0.4627,0.3181,0.3162,0.7827,0.2064,2.7716,0.9915,0.3614,0.1396,0.0111,0.0796,12.2576,4.0459,0.0676,0.3165,0.4685,3.9917,0.1733,0.2675,15.7721,0.1671,4.0117,7.152,0.4293,2.4867,6.9092,13.2915,0.0744,0.3696,0.3992,9.6737,3.4259,0.2554,0.5503,0.9779,0.0131,0.0278,0.0385,0.0236,264.882,288.1986,394.1604,15.7345,3.5791,1.8127,22.4904,21.5772,5.5327,3.4568,196.662,108.1364,22.9154,166.8092,20.7139,0.2821,0.0275,0.0236,0
"TCGA-XR-A8TF-01A",0.9949,0,3.1027,8.9147,0.3596,2.1536,0,0.1719,3.2168,7.0768,0.3845,0.277,0.7865,0.1569,0.0145,0.5272,0.6296,0.2385,0.0995,0.0527,0.0644,7.0599,0.6998,0.1706,0.1024,0.1993,0.7824,0.0152,0.4744,13.3245,0.0125,0.7015,1.3498,0.0116,0.2193,4.1501,5.4456,0.0306,0.2314,0.1793,16.0571,4.2878,0.1158,0.1416,1.1332,0.0137,0.0146,0.0269,0.0371,102.9939,69.776,139.1045,3.8994,1.0273,1.3226,7.6586,7.567,3.7598,4.4102,78.7854,58.4068,7.0992,153.0885,3.4455,0.6537,0.0433,0.0124,0
"TCGA-DD-A11B-11A",0.5949,0.242,0.4986,10.3624,0.1523,76.0093,1.4719,0.1479,2.3173,7.0726,0.316,0.4853,0.2673,0.2658,0.0276,0.7297,0.1517,0.0561,0.1232,0.0149,0.0572,5.053,0.7222,0.1625,0.0372,0.1489,0.5483,0.0579,0.4464,5.1851,0.2549,0.6063,1.3271,0.0588,0.1625,3.4366,9.1431,0.1318,0.3202,0.2083,6.3049,1.6207,0.3543,0.1649,0.636,0.0523,0,0.0342,0.0629,171.3903,241.2304,244.1172,4.8476,1.2729,1.828,10.2001,10.3404,3.5667,4.9158,112.7381,67.825,16.7599,106.2328,7.2075,0.7145,0.0184,0.0158,0
"TCGA-DD-A1EL-11A",1.0536,0,0.4137,10.3843,0.1514,110.5874,0.8452,0.0646,3.2552,6.062,0.7216,0.9685,0.2259,0.1801,0.1095,1.3824,0.1139,0.0772,0.1174,0.1636,0.06,3.8069,5.7799,0.1491,0.0383,0.2733,0.1572,0.0177,0.3686,8.1562,0.2851,1.7321,2.7338,0.2562,0.1491,4.22,8.5609,0.2587,0.4238,0.2045,4.8769,2.3627,0.9169,0.2063,0.0768,0.032,0.0425,0.0628,0.0721,207.9757,310.5647,402.0417,7.3107,1.9015,2.2068,13.0065,13.9952,5.7013,1.739,160.739,137.4124,14.2186,125.6493,4.944,0.7176,0.1263,0.0362,0.008
