"","B cells naive","B cells memory","Plasma cells","T cells CD8","T cells CD4 naive","T cells CD4 memory resting","T cells CD4 memory activated","T cells follicular helper","T cells regulatory (Tregs)","T cells gamma delta","NK cells resting","NK cells activated","Monocytes","Macrophages M0","Macrophages M1","Macrophages M2","Dendritic cells resting","Dendritic cells activated","Mast cells resting","Mast cells activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE"
"TCGA-BC-A10R-01A",0,0.00987350753124485,0,0.0535818322198157,0,0.142173533698861,0,0,0.0490477705128417,0,0,0.0312569616372612,0.0863977493736714,0.0126127516587512,0.0753252471115441,0.248773500630077,0.0523084801255608,0,0.227400171041729,0,0,0.0112484944586415,0.85,-0.0219804050138272,1.08451575370126
"TCGA-BC-A3KF-01A",0.008264440572978,0,0.000160255498026164,0.055292588475589,0,0.289203076972725,0,0,0.0273419408366615,0,0,0.0592521326439671,0.0188592009558154,0.044750952197606,0.109055398141011,0.146613399802849,0.0426012446145409,0,0.192151732378238,0,0,0.00645363690999306,0.44,0.0139449582586377,1.07999086339452
"TCGA-RG-A7D4-01A",0.0303964058306307,0,0.0358398683469196,0.280809817686572,0,0,0,0.11213665502668,0.0815928986011195,0.0211933513996889,0,0.12691727423921,0,0.127455639466451,0.0421656099774042,0.0378922129727049,0.0151211458084564,0,0.0750300009715277,0,0,0.0134491196726347,0.11,0.0922154192421173,1.07535457672123
"TCGA-G3-AAV4-01A",0.010937880121428,0,0.00110392310160226,0.0885413759131003,0,0.159620219707392,0,0.0545359599351122,0.0189185876106807,0.0197652745482839,0,0.0901889979354014,0.0634206332193305,0,0.102474157768936,0.344812084397495,0,0.0432272880708105,0.00245361767042682,0,0,0,0.59,0.00119205342925289,1.0983953200269
"TCGA-2Y-A9H7-01A",0.0144332963817251,0.0192141725185004,0,0.16263739418056,0,0.327161705263414,0,0.00273220537969485,0.0916351075120657,0,0,0.0345941515780629,0.0604693884652139,0,0.0358779964064037,0.086464597749299,0.121539552110374,0,0.0310616453474169,0,0,0.0121787871072693,0.73,-0.0111176998792777,1.10944531498616
"TCGA-DD-A11D-01A",0.0089431057410653,0,0,0.0387046861671063,0,0.21798256710435,0,0,0.102971105369683,0,0,0.114394708815728,0.0111897347558516,0.0213986838893744,0.108012361240888,0.209161181920426,0.0407075461840141,0,0.126534318811513,0,0,0,0.95,-0.0328097038953296,1.10454808950527
"TCGA-DD-A4NB-01A",0.00985070922069733,0,0.00695836634214382,0.223099674964283,0,0.272483675708504,0,0.00445452051998723,0.0250753125151426,0,0,0.0948049784410828,0.0173881026881337,0.0601430897880694,0.0644807410782012,0.173700804540151,0.0393056028372362,0,0,0.00825442135636658,0,0,0.24,0.0533141558596196,1.09082125102123
"TCGA-BD-A2L6-11A",0.108801850600345,0,0.0179126915004584,0.164723658511944,0,0.294672742749918,0.00591005450438703,0.0233744820802619,0.0146600382228656,0,0,0.0418540407926501,0.0245251476161904,0.0367451048385908,0.107723210727969,0.126572988305765,0.0282919826540901,0,0,0,0,0.00423200689456412,0.05,0.177287245935548,1.0263786617761
"TCGA-DD-AADJ-01A",0.0735823778525669,0,0,0.0521060073880262,0,0.311986511314731,0,0.0187397330715911,0.102020270739835,0,0.0133160529310176,0.059184414921547,0.0486490162133953,0.0297922920096302,0.0621373772219885,0.0745403944271878,0.089174898173638,0,0.061215489398878,0,0,0.00355516433596713,0.76,-0.0148405828618706,1.09687071309267
"TCGA-MI-A75G-01A",0.0260322859660213,0,0,0.0562511184906457,0,0.123651537269148,0,0,0,0,0,0.0273012998899147,0.0304908229161616,0.136200666545535,0.0903818726775164,0.196372149370124,0.0101094392070077,0,0.303208807667926,0,0,0,0.42,0.0201593569691691,1.08328221314078
